FechaID,Fecha,Anio,Mes,NombreMes,Trimestre,Dia
181,2017-06-30,2017,6,June,Qtr 2,30
182,2017-07-01,2017,7,July,Qtr 3,1
183,2017-07-02,2017,7,July,Qtr 3,2
184,2017-07-03,2017,7,July,Qtr 3,3
185,2017-07-04,2017,7,July,Qtr 3,4
186,2017-07-05,2017,7,July,Qtr 3,5
187,2017-07-06,2017,7,July,Qtr 3,6
188,2017-07-07,2017,7,July,Qtr 3,7
189,2017-07-08,2017,7,July,Qtr 3,8
190,2017-07-09,2017,7,July,Qtr 3,9
191,2017-07-10,2017,7,July,Qtr 3,10
192,2017-07-11,2017,7,July,Qtr 3,11
193,2017-07-12,2017,7,July,Qtr 3,12
194,2017-07-13,2017,7,July,Qtr 3,13
195,2017-07-14,2017,7,July,Qtr 3,14
196,2017-07-15,2017,7,July,Qtr 3,15
197,2017-07-16,2017,7,July,Qtr 3,16
198,2017-07-17,2017,7,July,Qtr 3,17
199,2017-07-18,2017,7,July,Qtr 3,18
200,2017-07-19,2017,7,July,Qtr 3,19
201,2017-07-20,2017,7,July,Qtr 3,20
202,2017-07-21,2017,7,July,Qtr 3,21
203,2017-07-22,2017,7,July,Qtr 3,22
204,2017-07-23,2017,7,July,Qtr 3,23
205,2017-07-24,2017,7,July,Qtr 3,24
206,2017-07-25,2017,7,July,Qtr 3,25
207,2017-07-26,2017,7,July,Qtr 3,26
208,2017-07-27,2017,7,July,Qtr 3,27
209,2017-07-28,2017,7,July,Qtr 3,28
210,2017-07-29,2017,7,July,Qtr 3,29
211,2017-07-30,2017,7,July,Qtr 3,30
212,2017-07-31,2017,7,July,Qtr 3,31
213,2017-08-01,2017,8,August,Qtr 3,1
214,2017-08-02,2017,8,August,Qtr 3,2
215,2017-08-03,2017,8,August,Qtr 3,3
216,2017-08-04,2017,8,August,Qtr 3,4
217,2017-08-05,2017,8,August,Qtr 3,5
218,2017-08-06,2017,8,August,Qtr 3,6
219,2017-08-07,2017,8,August,Qtr 3,7
220,2017-08-08,2017,8,August,Qtr 3,8
221,2017-08-09,2017,8,August,Qtr 3,9
222,2017-08-10,2017,8,August,Qtr 3,10
223,2017-08-11,2017,8,August,Qtr 3,11
224,2017-08-12,2017,8,August,Qtr 3,12
225,2017-08-13,2017,8,August,Qtr 3,13
226,2017-08-14,2017,8,August,Qtr 3,14
227,2017-08-15,2017,8,August,Qtr 3,15
228,2017-08-16,2017,8,August,Qtr 3,16
